Titel des Studiengangs,Abschluss,Studienform,Standort(e),loc_dor,loc_ffm,loc_muc,loc_hh,loc_cgn,loc_stu,loc_bln,Unterrichtssprache (kurz),Unterrichtssprache (lang),URL,Kurzbeschreibung,Studiengebühren,Regel­studien­zeit,Bewerbungsfrist,Auslandssemester,Akkreditierung
International Management,Bachelor of Science (B.Sc.),Vollzeit,"Dortmund, Frankfurt/Main, München, Hamburg, Köln, Stuttgart, Berlin",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Primär Deutsch, teils Englisch",Englisch oder Deutsch (mit englischen Modulen),https://ism.de/bachelor/vollzeit/international-management-studium,Allrounder-Management-Studium für zukünftige Führungskräfte; integrierte Auslandssemester & Praktika; Sprachen: Englisch oder Deutsch mit englisch­sprachigen Modulen,5.970 € pro Semester,6 Semester (7 Semester Global Track),Sommersemester: bis 15. Dezember; Wintersemester: bis 15. Juli,"Zwei integriert (ein verpflichtendes, ein optionales)","AACSB, FIBAA, Akkreditierungsrat"
Marketing & Communications Management,Bachelor of Arts (B.A.),Vollzeit,"Dortmund, Frankfurt/Main, München, Hamburg, Köln, Stuttgart, Berlin",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Primär Deutsch, teils Englisch",Deutsch (mit englisch­sprachigen Modulen),https://ism.de/bachelor/vollzeit/bachelor-marketing,Innovatives und anwendungsorientiertes Studium der Marketingkommunikation; integrierte Auslandssemester & Praktika; Sprachen: Deutsch mit englisch­sprachigen Modulen,5.970 € pro Semester,6 Semester (7 Semester Global Track),Sommersemester: bis 15. Dezember; Wintersemester: bis 15. Juli,"Zwei integriert (ein verpflichtendes, ein optionales)","AACSB, FIBAA, Akkreditierungsrat"
Finance & Management,Bachelor of Science (B.Sc.),Vollzeit,"Dortmund, Frankfurt/Main, München, Hamburg, Köln, Berlin",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Nur Englisch,Englisch,https://ism.de/bachelor/vollzeit/bachelor-finance,Der erste Schritt in die Finanzwelt; integrierte Auslandssemester & Praktika; Sprache: Englisch,5.970 € pro Semester,6 Semester (7 Semester Global Track),Sommersemester: bis 15. Dezember; Wintersemester: bis 15. Juli,"Zwei integriert (ein verpflichtendes, ein optionales)","AACSB, FIBAA, Akkreditierungsrat"
Wirtschaftspsychologie,Bachelor of Science (B.Sc.),Vollzeit,"Dortmund, Frankfurt/Main, München, Hamburg, Köln, Stuttgart, Berlin",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Primär Deutsch, teils Englisch",Deutsch (mit englisch­sprachigen Modulen),https://ism.de/bachelor/vollzeit/wirtschaftspsychologie-bachelor,"Praxisnahes Vollzeitstudium an der Schnittstelle von Psychologie und Wirtschaft.; integrierte Auslandssemester, Exkursionen & Praktika; Sprachen: Deutsch mit englisch­sprachigen Modulen",5.970 € pro Semester,6 Semester (7 Semester Global Track),Sommersemester: bis 15. Dezember; Wintersemester: bis 15. Juli,"Zwei integriert (ein verpflichtendes, ein optionales)","AACSB, FIBAA, Akkreditierungsrat"
Tourism & Event Management,Bachelor of Arts (B.A.),Vollzeit,Dortmund,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Primär Deutsch, teils Englisch",Deutsch (mit englisch­sprachigen Modulen),https://ism.de/bachelor/vollzeit/tourismus-eventmanagement-studieren,Internationales Tourismus- und Eventmanagement-Studium mit Praxisbezug; integrierte Auslandssemester & Praktika; Sprachen: Deutsch mit englisch­sprachigen Modulen,5.970 € pro Semester,6 Semester (7 Semester Global Track),Sommersemester: bis 15. Dezember; Wintersemester: bis 15. Juli,"Zwei integriert (ein verpflichtendes, ein optionales)","AACSB, FIBAA, Akkreditierungsrat"
Global Brand & Fashion Management,Bachelor of Arts (B.A.),Vollzeit,"Dortmund, Frankfurt/Main, München, Hamburg, Köln, Stuttgart, Berlin",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Primär Deutsch, teils Englisch",Deutsch (mit englisch­sprachigen Modulen),https://ism.de/bachelor/vollzeit/fashion-management-studium,Praxisnahes Studium in Mode- und Markenmanagement; integrierte Auslandssemester & Praktika; Sprachen: Deutsch mit englisch­sprachigen Modulen,5.970 € pro Semester,6 Semester (7 Semester Global Track),Sommersemester: bis 15. Dezember; Wintersemester: bis 15. Juli,"Zwei integriert (ein verpflichtendes, ein optionales)","AACSB, FIBAA, Akkreditierungsrat"
International Sports Management,Bachelor of Arts (B.A.),Vollzeit,"Dortmund, München, Hamburg, Köln, Berlin",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,"Primär Deutsch, teils Englisch",Deutsch (mit englisch­sprachigen Modulen),https://ism.de/bachelor/vollzeit/bachelor-sportmanagement,Der Einstieg in eine internationale Karriere im Sportbusiness; integrierte Auslandssemester & Praktika; Sprachen: Deutsch mit englisch­sprachigen Modulen,5.970 € pro Semester,6 Semester (7 Semester Global Track),Sommersemester: bis 15. Dezember; Wintersemester: bis 15. Juli,"Zwei integriert (ein verpflichtendes, ein optionales)","AACSB, FIBAA, Akkreditierungsrat"
Information Systems,Bachelor of Science (B.Sc.),Vollzeit,"Dortmund, München, Hamburg",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Primär Deutsch, teils Englisch",Deutsch (mit englisch­sprachigen Modulen),https://ism.de/bachelor/vollzeit/bachelor-wirtschaftsinformatik,Modernes Wirtschaftsinformatik-Studium mit BWL- und IT-Inhalten; integriertes Auslandssemester & Praxisprojekte; Sprachen: Deutsch mit englisch­sprachigen Modulen,5.970 € pro Semester,6 Semester (7 Semester Global Track),Sommersemester: bis 15. Dezember; Wintersemester: bis 15. Juli,"Zwei integriert (ein verpflichtendes, ein optionales)","AACSB, FIBAA, Akkreditierungsrat"
Applied Data Science & Business Analytics,Bachelor of Science (B.Sc.),Vollzeit,"Dortmund, Frankfurt/Main, München, Hamburg",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Nur Englisch,Englisch,https://ism.de/bachelor/vollzeit/data-science-studium,Zukunftsorientiertes Data-Science-Studium mit Fokus auf Big Data und KI; integriertes Auslandssemester & optionale Vertiefung; Vorlesungssprache Englisch (mit deutschsprachigen Wahlkursen),5.970 € pro Semester,6 Semester (7 Semester Global Track),Sommersemester: bis 15. Dezember; Wintersemester: bis 15. Juli,"Zwei integriert (ein verpflichtendes, ein optionales)","AACSB, FIBAA, Akkreditierungsrat"
Real Estate Management,Bachelor of Science (B.Sc.),Vollzeit,"Dortmund, Frankfurt/Main, München, Hamburg, Berlin",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"Primär Deutsch, teils Englisch",Deutsch (mit englisch­sprachigen Modulen),https://ism.de/bachelor/vollzeit/immobilienwirtschaft-bachelor,Betriebswirtschaftliches Immobilienmanagement-Studium mit internationaler Ausrichtung; integriertes Auslandssemester & Praxisprojekte; Sprachen: Deutsch mit englisch­sprachigen Modulen,5.970 € pro Semester,6 Semester (7 Semester Global Track),Sommersemester: bis 15. Dezember; Wintersemester: bis 15. Juli,"Zwei integriert (ein verpflichtendes, ein optionales)","AACSB, FIBAA, Akkreditierungsrat"
Business Law (Wirtschaftsrecht),Bachelor of Laws (LL.B.),Vollzeit,"Dortmund, Hamburg",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Primär Deutsch, teils Englisch",Deutsch (mit englisch­sprachigen Modulen),https://ism.de/bachelor/vollzeit/wirtschaftsrecht-bachelor,BWL trifft Recht: Interdisziplinäres Wirtschaftsrechts-Studium mit Fokus auf internationales Business Law; integriertes Auslandssemester (optional zweites Auslandsjahr); Unterricht auf Deutsch mit englischen Modulen,5.970 € pro Semester,6 Semester (7 Semester Global Track),Sommersemester: bis 15. Dezember; Wintersemester: bis 15. Juli,"Zwei integriert (ein verpflichtendes, ein optionales)","AACSB, FIBAA, Akkreditierungsrat"
Business Administration · International Management,Bachelor of Arts (B.A.),Berufsbegleitend,"Dortmund, Frankfurt/Main, München, Hamburg, Köln, Stuttgart, Berlin",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Primär Deutsch, teils Englisch",Deutsch (mit englisch­sprachigen Modulen),https://ism.de/bachelor/berufsbegleitend/international-management-berufsbegleitend,Management-Studium für angehende Führungskräfte – flexibel mit und ohne Arbeitgeber studierbar; Sprachen: Deutsch mit englisch­sprachigen Modulen,2.040 € pro Semester,7 Semester (optional 8 Semester),zum Wintersemester: bis 15. Juli,kein Auslandssemester (optional im 8. Semester; Pflicht: 2-wöchiges Sprachstudium in Dublin),"AACSB, FIBAA, Akkreditierungsrat"
Business Administration · Finance & Management,Bachelor of Arts (B.A.),Berufsbegleitend,"Dortmund, Frankfurt/Main, München, Hamburg, Köln, Stuttgart, Berlin",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Primär Deutsch, teils Englisch",Deutsch (mit englisch­sprachigen Modulen),https://ism.de/bachelor/berufsbegleitend/bachelor-finance-berufsbegleitend,Werde zum internationalen Finanzprofi – praxisorientiertes Finanzstudium neben dem Beruf; flexibel mit und ohne Arbeitgeber studierbar; Sprachen: Deutsch mit englisch­sprachigen Modulen,2.040 € pro Semester,7 Semester (optional 8 Semester),zum Wintersemester: bis 15. Juli,kein Auslandssemester (optional im 8. Semester; Pflicht: 2-wöchiges Sprachstudium in Dublin),"AACSB, FIBAA, Akkreditierungsrat"
Business Administration · Sales & Marketing Management,Bachelor of Arts (B.A.),Berufsbegleitend,"Dortmund, Frankfurt/Main, München, Hamburg, Köln, Stuttgart, Berlin",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Primär Deutsch, teils Englisch",Deutsch (mit englisch­sprachigen Modulen),https://ism.de/bachelor/berufsbegleitend/sales-management-studium-berufsbegleitend/,Karrierebegleitendes Marketing-Studium mit Vertriebs-Schwerpunkt – flexible Blended-Learning-Struktur aus Präsenz und Online; Sprachen: Deutsch mit englisch­sprachigen Modulen,2.040 € pro Semester,7 Semester (optional 8 Semester),zum Wintersemester: bis 15. Juli,kein Auslandssemester (optional im 8. Semester; Pflicht: 2-wöchiges Sprachstudium in Dublin),"AACSB, FIBAA, Akkreditierungsrat"
Business Administration · Logistik Management,Bachelor of Arts (B.A.),Berufsbegleitend,"Dortmund, Frankfurt/Main, München, Hamburg, Köln, Stuttgart, Berlin",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Primär Deutsch, teils Englisch",Deutsch (mit englisch­sprachigen Modulen),https://ism.de/bachelor/berufsbegleitend/logistik-studium-berufsbegleitend,Berufsbegleitendes Logistikmanagement-Studium mit modernen Lernkonzepten; praxisnah und zeitlich flexibel studierbar; Sprachen: Deutsch mit englisch­sprachigen Modulen,2.040 € pro Semester,7 Semester (optional 8 Semester),zum Wintersemester: bis 15. Juli,kein Auslandssemester (optional im 8. Semester; Pflicht: 2-wöchiges Sprachstudium in Dublin),"AACSB, FIBAA, Akkreditierungsrat"
Business Administration · Data Analysis,Bachelor of Arts (B.A.),Berufsbegleitend,"Dortmund, Frankfurt/Main, München, Hamburg, Köln, Stuttgart, Berlin",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Primär Deutsch, teils Englisch",Deutsch (mit englisch­sprachigen Modulen),https://ism.de/bachelor/berufsbegleitend/it-management-studium-berufsbegleitend,Data-Analytics-Studium neben dem Beruf – moderne Datenanalyse und BWL kombinieren; flexibel studierbar; Sprachen: Deutsch mit englisch­sprachigen Modulen,2.040 € pro Semester,7 Semester (optional 8 Semester),zum Wintersemester: bis 15. Juli,kein Auslandssemester (optional im 8. Semester; Pflicht: 2-wöchiges Sprachstudium in Dublin),"AACSB, FIBAA, Akkreditierungsrat"
Betriebswirtschaft · International Management,Bachelor of Science (B.Sc.),Dual,"Dortmund, Frankfurt/Main, München, Hamburg, Köln, Stuttgart, Berlin",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Primär Deutsch, teils Englisch",Deutsch (mit englisch­sprachigen Modulen),https://ism.de/bachelor/dual/duales-studium-international-management,Duales BWL-Studium mit Schwerpunkt International Management – internationale Erfahrungen in Theorie und Praxis sammeln; integriertes Auslandssemester an europäischer Partnerhochschule; Unterrichtssprachen: Deutsch mit englischen Modulen,730 € pro Monat,6 Semester,zum Wintersemester: bis 15. Juli,verpflichtend: 1 Auslandssemester (im 4. Semester),"AACSB, FIBAA, Akkreditierungsrat"
Betriebswirtschaft · Marketing & Communications,Bachelor of Arts (B.A.),Dual,"Dortmund, Frankfurt/Main, München, Hamburg, Köln, Stuttgart, Berlin",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Primär Deutsch, teils Englisch",Deutsch (mit englisch­sprachigen Modulen),https://ism.de/bachelor/dual/duales-studium-marketing,Duales Betriebswirtschaft-Studium mit Schwerpunkt Marketing & Kommunikation – verzahnt Theorie und Praxis im Unternehmen; integriertes Auslandssemester im 4. Semester; Unterrichtssprachen: Deutsch mit englischen Modulen,730 € pro Monat,6 Semester,zum Wintersemester: bis 15. Juli,verpflichtend: 1 Auslandssemester (im 4. Semester),"AACSB, FIBAA, Akkreditierungsrat"
Betriebswirtschaft · Logistik Management,Bachelor of Science (B.Sc.),Dual,"Dortmund, Frankfurt/Main, München, Hamburg, Köln, Stuttgart, Berlin",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Primär Deutsch, teils Englisch",Deutsch (mit englisch­sprachigen Modulen),https://ism.de/bachelor/dual/duales-studium-logistik,Duales Betriebswirtschaft-Studium mit Schwerpunkt Logistik – Wechsel von Vorlesung und Praxisphase im Logistikunternehmen im Quartalsrhythmus; integriertes Auslandssemester an Partnerhochschule in Europa; Unterrichtssprachen: Deutsch mit englischen Modulen,730 € pro Monat,6 Semester,zum Wintersemester: bis 15. Juli,verpflichtend: 1 Auslandssemester (im 4. Semester),"AACSB, FIBAA, Akkreditierungsrat"
Betriebswirtschaft · Tourism & Event Management,Bachelor of Arts (B.A.),Dual,"Dortmund, Frankfurt/Main, München, Hamburg, Köln, Stuttgart, Berlin",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Primär Deutsch, teils Englisch",Deutsch (mit englisch­sprachigen Modulen),https://ism.de/bachelor/dual/duales-studium-eventmanagement-tourismusmanagement,Duales Betriebswirtschaft-Studium mit Schwerpunkt Tourismus & Event – Praxisphasen in der Event- und Tourismusbranche; integriertes Auslandssemester im 4. Semester; Unterrichtssprachen: Deutsch mit englischen Modulen,730 € pro Monat,6 Semester,zum Wintersemester: bis 15. Juli,verpflichtend: 1 Auslandssemester (im 4. Semester),"AACSB, FIBAA, Akkreditierungsrat"
"Betriebswirtschaft · Brand, Retail & Fashion Management",Bachelor of Science (B.Sc.),Dual,"Dortmund, Frankfurt/Main, München, Hamburg, Köln, Stuttgart, Berlin",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Primär Deutsch, teils Englisch",Deutsch (mit englisch­sprachigen Modulen),https://ism.de/bachelor/dual/duales-studium-fashionmanagement,"Duales Betriebswirtschaft-Studium mit Schwerpunkt Brand, Retail & Fashion – kombiniert BWL-Grundlagen mit Mode- und Handelswissen; integriertes Auslandssemester; Unterrichtssprachen: Deutsch mit englischen Modulen",730 € pro Monat,6 Semester,zum Wintersemester: bis 15. Juli,verpflichtend: 1 Auslandssemester (im 4. Semester),"AACSB, FIBAA, Akkreditierungsrat"
Betriebswirtschaft · Real Estate Management,Bachelor of Science (B.Sc.),Dual,"Dortmund, Frankfurt/Main, München, Hamburg, Köln, Stuttgart, Berlin",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Primär Deutsch, teils Englisch",Deutsch (mit englisch­sprachigen Modulen),https://ism.de/bachelor/dual/duales-studium-immobilienwirtschaft,Duales Betriebswirtschaft-Studium mit Schwerpunkt Immobilienmanagement – enge Verzahnung von Theorie und Praxis; integriertes Auslandssemester im 4. Semester; Unterrichtssprachen: Deutsch mit englischen Modulen,730 € pro Monat,6 Semester,zum Wintersemester: bis 15. Juli,verpflichtend: 1 Auslandssemester (im 4. Semester),"AACSB, FIBAA, Akkreditierungsrat"
Betriebswirtschaft · Sports Management,Bachelor of Arts (B.A.),Dual,"Dortmund, Frankfurt/Main, München, Hamburg, Köln, Stuttgart, Berlin",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Primär Deutsch, teils Englisch",Deutsch (mit englisch­sprachigen Modulen),https://ism.de/bachelor/dual/duales-studium-sportmanagement,Duales Betriebswirtschaft-Studium mit Schwerpunkt Sportmanagement – parallel praktische Ausbildung in Sport-Unternehmen; integriertes Auslandssemester im 4. Semester; Unterrichtssprachen: Deutsch mit englischen Modulen,730 € pro Monat,6 Semester,zum Wintersemester: bis 15. Juli,verpflichtend: 1 Auslandssemester (im 4. Semester),"AACSB, FIBAA, Akkreditierungsrat"